workclass,education,age,gender
 State-gov, Bachelors,39, Male
 Self-emp-not-inc, Bachelors,50, Male
 Private, HS-grad,38, Male
 Private, 11th,53, Male
 Private, Bachelors,28, Female
 Private, Masters,37, Female
 Private, 9th,49, Female
 Self-emp-not-inc, HS-grad,52, Male
 Private, Masters,31, Female
 Private, Bachelors,42, Male
 Private, Some-college,37, Male
 State-gov, Bachelors,30, Male
 Private, Bachelors,23, Female
 Private, Assoc-acdm,32, Male
 Private, Assoc-voc,40, Male
 Private, 7th-8th,34, Male
 Self-emp-not-inc, HS-grad,25, Male
 Private, HS-grad,32, Male
 Private, 11th,38, Male
 Self-emp-not-inc, Masters,43, Female
 Private, Doctorate,40, Male
 Private, HS-grad,54, Female
 Federal-gov, 9th,35, Male
 Private, 11th,43, Male
 Private, HS-grad,59, Female
 Local-gov, Bachelors,56, Male
 Private, HS-grad,19, Male
 ?, Some-college,54, Male
 Private, HS-grad,39, Male
 Private, HS-grad,49, Male
 Local-gov, Assoc-acdm,23, Male
 Private, Some-college,20, Male
 Private, Bachelors,45, Male
 Federal-gov, Some-college,30, Male
 State-gov, Some-college,22, Male
 Private, 11th,48, Male
 Private, Some-college,21, Male
 Private, HS-grad,19, Female
 Private, Some-college,31, Male
 Self-emp-not-inc, Assoc-acdm,48, Male
 Private, 9th,31, Male
 Self-emp-not-inc, Bachelors,53, Male
 Private, Bachelors,24, Male
 Private, HS-grad,49, Female
 Private, HS-grad,25, Male
 Federal-gov, Bachelors,57, Male
 Private, HS-grad,53, Male
 Private, Masters,44, Female
 State-gov, Assoc-voc,41, Male
 Private, Assoc-voc,29, Male
 Private, Some-college,25, Female
 Private, HS-grad,18, Female
 Private, Prof-school,47, Female
 Federal-gov, Bachelors,50, Male
 Self-emp-inc, HS-grad,47, Male
 Private, Some-college,43, Male
 Private, 5th-6th,46, Male
 Private, Assoc-voc,35, Male
 Private, HS-grad,41, Male
 Private, HS-grad,30, Male
 Private, Bachelors,30, Male
 ?, 7th-8th,32, Male
 Private, HS-grad,48, Male
 Private, Doctorate,42, Male
 Private, Some-college,29, Male
 Private, HS-grad,36, Male
 Private, Some-college,28, Female
 Private, HS-grad,53, Female
 Self-emp-inc, Some-college,49, Male
 ?, Some-college,25, Male
 Private, Some-college,19, Male
 Private, Bachelors,31, Female
 Self-emp-not-inc, Bachelors,29, Male
 Private, Some-college,23, Male
 Private, Some-college,79, Male
 Private, HS-grad,27, Male
 Private, Assoc-acdm,40, Male
 ?, 10th,67, Male
 Private, 11th,18, Female
 Local-gov, 7th-8th,31, Male
 Private, HS-grad,18, Male
 Private, Bachelors,52, Male
 Private, HS-grad,46, Female
 Private, HS-grad,59, Male
 Private, HS-grad,44, Female
 Private, HS-grad,53, Female
 Local-gov, HS-grad,49, Male
 Private, Masters,33, Male
 Private, 9th,30, Male
 Federal-gov, Doctorate,43, Female
 Private, Assoc-voc,57, Male
 Private, Some-college,37, Female
 Private, Some-college,28, Female
 Private, HS-grad,30, Female
 Local-gov, Bachelors,34, Male
 Local-gov, Some-college,29, Male
 Self-emp-not-inc, Doctorate,48, Male
 Private, Some-college,37, Male
 Private, Assoc-acdm,48, Female
 Federal-gov, HS-grad,32, Male
 Private, Masters,76, Male
 Private, Bachelors,44, Male
 Self-emp-not-inc, Masters,47, Female
 Private, Some-college,20, Female
 Private, HS-grad,29, Male
 Self-emp-inc, HS-grad,32, Male
 ?, 10th,17, Female
 Private, 11th,30, Male
 Local-gov, HS-grad,31, Female
 Private, HS-grad,42, Male
 Private, Bachelors,24, Male
 Private, Prof-school,38, Male
 Self-emp-not-inc, HS-grad,56, Male
 Private, Some-college,28, Female
 Private, HS-grad,36, Female
 Private, 9th,53, Male
 Self-emp-inc, Some-college,56, Male
 Local-gov, Assoc-voc,49, Male
 Private, Some-college,55, Male
 Private, HS-grad,22, Male
 Private, Some-college,21, Female
 Private, Bachelors,40, Male
 Private, Bachelors,30, Male
 State-gov, Bachelors,29, Male
 Private, Some-college,19, Male
 Private, Bachelors,47, Female
 Private, Some-college,20, Female
 Private, Assoc-acdm,31, Male
 ?, HS-grad,35, Male
 Private, Some-college,39, Male
 Private, Assoc-acdm,28, Female
 Private, HS-grad,24, Female
 Self-emp-not-inc, HS-grad,38, Male
 Private, Bachelors,37, Male
 Private, Assoc-acdm,46, Female
 Federal-gov, Masters,38, Male
 Self-emp-not-inc, HS-grad,43, Male
 Private, Assoc-voc,27, Female
 Private, Some-college,20, Male
 Private, Some-college,49, Male
 Self-emp-inc, HS-grad,61, Male
 Private, Some-college,27, Female
 Private, Some-college,19, Male
 Private, Assoc-voc,45, Female
 Private, Some-college,70, Male
 Private, HS-grad,31, Female
 Private, Some-college,22, Male
 Private, HS-grad,36, Female
 Private, 11th,64, Male
 ?, Some-college,43, Female
 Local-gov, Some-college,47, Female
 Private, HS-grad,34, Female
 Private, Bachelors,33, Female
 Private, HS-grad,21, Male
 ?, HS-grad,52, Male
 Private, HS-grad,48, Male
 Private, Bachelors,23, Male
 Self-emp-not-inc, Some-college,71, Male
 Private, HS-grad,29, Male
 Private, Bachelors,42, Male
 ?, 1st-4th,68, Female
 Private, HS-grad,25, Female
 Self-emp-inc, Masters,44, Female
 Private, HS-grad,28, Female
 Self-emp-not-inc, Masters,45, Male
 Private, Some-college,36, Female
 Federal-gov, Assoc-acdm,39, Male
 State-gov, Masters,46, Male
 Private, 11th,18, Male
 Local-gov, Assoc-voc,66, Female
 Private, HS-grad,27, Male
 State-gov, HS-grad,28, Male
 Private, Some-college,51, Male
 Private, Bachelors,27, Male
 State-gov, Bachelors,28, Male
 Private, HS-grad,27, Female
 Private, HS-grad,21, Male
 Private, HS-grad,34, Male
 Private, HS-grad,18, Male
 Private, Bachelors,33, Male
 Local-gov, Some-college,44, Male
 Private, Some-college,43, Female
 Private, Some-college,30, Male
 Private, 7th-8th,40, Male
 Federal-gov, Some-college,37, Male
 Private, HS-grad,34, Male
 Self-emp-not-inc, Bachelors,41, Female
 ?, Bachelors,53, Female
 Private, Masters,31, Female
 State-gov, Doctorate,58, Male
 Private, Some-college,38, Female
 Private, Some-college,24, Male
 Local-gov, Bachelors,41, Male
 Private, Some-college,47, Male
 Federal-gov, Bachelors,41, Male
 Private, 5th-6th,23, Male
 Private, Some-college,36, Male
 Federal-gov, Masters,40, Female
 Private, Masters,35, Male
 Self-emp-not-inc, HS-grad,24, Male
 Private, Masters,26, Female
 ?, HS-grad,19, Male
 Private, Bachelors,51, Male
 Local-gov, Some-college,42, Female
 State-gov, HS-grad,37, Female
 Private, 11th,18, Female
 Private, Bachelors,36, Male
 Private, HS-grad,35, Male
 Self-emp-inc, HS-grad,58, Female
 Private, 11th,17, Female
 Local-gov, HS-grad,44, Male
 Private, HS-grad,37, Male
 Private, Some-college,35, Female
 Private, HS-grad,60, Male
 Self-emp-inc, 7th-8th,54, Male
 Private, Bachelors,37, Male
 Private, Assoc-acdm,50, Female
 Private, Bachelors,38, Male
 Private, Bachelors,45, Male
 Private, 10th,25, Male
 Private, Some-college,31, Male
 ?, 1st-4th,64, Male
 Private, HS-grad,90, Male
 Private, HS-grad,54, Male
 Local-gov, Preschool,53, Female
 Private, HS-grad,18, Female
 ?, 10th,60, Female
 Self-emp-not-inc, HS-grad,66, Male
 Private, Assoc-voc,75, Female
 Private, HS-grad,65, Female
 Private, 11th,35, Male
 Private, HS-grad,41, Female
 Private, Some-college,25, Male
 Private, Some-college,33, Female
 Private, Prof-school,28, Male
 State-gov, HS-grad,59, Male
 State-gov, Some-college,40, Female
 Private, Bachelors,41, Male
 Local-gov, Masters,38, Male
 Private, HS-grad,23, Male
 Private, Bachelors,40, Male
 Self-emp-not-inc, HS-grad,41, Female
 State-gov, Assoc-acdm,24, Male
 ?, Some-college,20, Male
 Private, Some-college,38, Male
 Private, HS-grad,56, Male
 Private, HS-grad,58, Male
 Private, HS-grad,32, Female
 Private, Assoc-acdm,40, Male
 Private, HS-grad,45, Male
 Private, Prof-school,41, Female
 Private, Bachelors,42, Female
 Local-gov, 10th,59, Female
 Local-gov, Some-college,19, Male
 Private, Some-college,58, Male
 Self-emp-not-inc, HS-grad,42, Male
 Private, HS-grad,20, Female
 Private, HS-grad,32, Female
 Private, Assoc-voc,45, Female
 Private, 7th-8th,50, Male
 Private, Bachelors,36, Female
 Private, HS-grad,45, Male
 Private, 11th,17, Male
 Private, Some-college,59, Male
 Private, 11th,26, Male
 Self-emp-inc, Some-college,37, Male
 ?, Some-college,19, Male
 Private, HS-grad,64, Male
 Private, Bachelors,33, Female
 Private, HS-grad,33, Female
 Private, HS-grad,61, Male
 Private, 9th,17, Male
 Self-emp-not-inc, Masters,50, Male
 Local-gov, Masters,27, Male
 Private, HS-grad,30, Female
 Private, HS-grad,43, Male
 Private, Some-college,44, Male
 Private, Some-college,35, Female
 Private, Some-college,25, Female
 Private, Some-college,24, Female
 Private, Bachelors,22, Female
 Local-gov, Some-college,42, Male
 Private, Assoc-acdm,34, Female
 Private, Bachelors,60, Female
 Private, HS-grad,21, Male
 Federal-gov, Masters,57, Male
 Private, Prof-school,41, Male
 Private, Some-college,50, Male
 Private, Bachelors,25, Female
 Private, 7th-8th,50, Male
 Private, Bachelors,36, Male
 Private, HS-grad,31, Female
 Local-gov, Bachelors,29, Male
 Private, Some-college,21, Male
 Private, Bachelors,27, Female
 Private, HS-grad,65, Male
 Self-emp-inc, Bachelors,37, Female
 ?, Masters,39, Female
 Private, HS-grad,24, Male
 Private, HS-grad,38, Male
 Private, Bachelors,48, Male
 Private, Some-college,21, Female
 Private, HS-grad,31, Male
 Private, HS-grad,55, Male
 Private, Some-college,24, Female
 Private, HS-grad,43, Female
 Private, Assoc-acdm,26, Male
 Private, Assoc-acdm,46, Female
 Private, Assoc-acdm,35, Male
 Self-emp-inc, Some-college,41, Male
 Private, Bachelors,26, Male
 Private, Masters,34, Male
 ?, Some-college,19, Female
 Self-emp-not-inc, Bachelors,36, Female
 Private, Some-college,22, Male
 Private, Some-college,24, Male
